Я бы,имя,Библиотека форм,Идентификатор страницы,Содержится в,группа,Линия Источник,Линия назначения,Исходная стрелка,Стрелка назначения,Состояние,Текстовая область 1,Комментарии
1,Документ,,,,,,,,,Готово,Online cinema,
2,страница,,,,,,,,,,Страница 1,
3,Процесс,Фигуры и контейнеры для блок-схем,2,,,,,,,,,
4,Текст,стандарт,2,,,,,,,,Online Cinema,
5,Актер,UML,2,,,,,,,,Пользователь,
6,соединитель,Фигуры и контейнеры для блок-схем,2,,,,,,,,Поиск фильма,
7,соединитель,Фигуры и контейнеры для блок-схем,2,,,,,,,,Регистрация,
8,соединитель,Фигуры и контейнеры для блок-схем,2,,,,,,,,Авторизация,
9,соединитель,Фигуры и контейнеры для блок-схем,2,,,,,,,,Просмотр профиля,
10,соединитель,Фигуры и контейнеры для блок-схем,2,,,,,,,,Отправка письма на электронную почту,
11,соединитель,Фигуры и контейнеры для блок-схем,2,,,,,,,,Добавление фильма в избранное,
12,соединитель,Фигуры и контейнеры для блок-схем,2,,,,,,,,По году,
13,соединитель,Фигуры и контейнеры для блок-схем,2,,,,,,,,По актерам,
14,MinimalTextBlock,стандарт,2,,,,,,,,<< extend >>,
15,соединитель,Фигуры и контейнеры для блок-схем,2,,,,,,,,Просмотр избранного,
16,MinimalTextBlock,стандарт,2,,,,,,,,<< include >>,
17,MinimalTextBlock,стандарт,2,,,,,,,,<< include >>,
18,MinimalTextBlock,стандарт,2,,,,,,,,<< include >>,
19,MinimalTextBlock,стандарт,2,,,,,,,,<< include >>,
20,Линия,,2,,,6,12,None,Equilateral Arrow,,,
21,Линия,,2,,,6,13,None,Equilateral Arrow,,,
22,Линия,,2,,,8,9,None,Equilateral Arrow,,,
23,Линия,,2,,,11,15,None,Equilateral Arrow,,,
24,Линия,,2,,,7,10,None,Equilateral Arrow,,,
25,Линия,,2,,,10,9,None,Equilateral Arrow,,,
26,Линия,,2,,,5,7,None,None,,,
27,Линия,,2,,,5,8,None,None,,,
28,Линия,,2,,,5,9,None,None,,,
29,Линия,,2,,,5,11,None,None,,,
30,Линия,,2,,,5,6,None,None,,,